lng,lat
-85.4,31.3
-74.29,40.85
-95.29,30.01
-81.74,28.28
-119.82,36.76
-81.74,28.28
-99.5,27.8
-117.99,33.88
-81.6,28.5
-82.9,39.6
-80.1,42.11
-81.74,28.28
-106.4,31.81
-80.09,26.66
-81.9,35.1
-80.4,25.9
-80.4,25.9
-80.4,25.9
-97.5,38.2
-74.06,40.78
-80.4,25.9
-96.94,32.69
-80.3,25.78
-94.74,38.95
-88.34,41.84
-80.4,25.9
-81.74,28.28
-80.4,25.9
-95.24,29.8
-118.24,33.87
-82.9,39.6
-95.57,29.87
-87.9,44.5
-80.27,26.14
-81.35,41.24
-81.74,28.28
-81.74,28.28
-80.32,25.8
-80.32,25.8
-74.5,40.37
-81.74,28.28
-81.74,28.28
-81.74,28.28
-77.48,37.5
-83.48,33.8
-119.9,46.4
-97.8,33.2
-112.0,40.7
-86.4,39.68
-97.11,31.57
-81.74,28.28
-82.2,34.7
-81.74,28.28
-81.74,28.28
-80.09,26.66
-89.6,35.1
-81.85,41.31
-78.7,35.7
-95.44,29.86
-122.82,38.53
-87.95,41.96
-73.0,43.4
-81.74,28.28
-77.02,40.25
-90.17,38.52
-75.24,40.22
-81.74,28.28
-81.74,28.28
-76.8,39.15
-81.74,28.28
-80.02,32.93
-80.4,25.9
-81.74,28.28
-95.35,29.75
-80.4,25.9
-111.0,32.27
-90.17,38.52
-77.1,43.1
-71.85,42.06
-99.6,27.8
-84.36,33.61
-82.12,34.91
-74.06,40.78
-79.86,32.82
-81.74,28.28
-79.99,32.85
-106.4,31.81
-82.12,34.91
-88.01,43.02
-118.06,33.93
-74.28,40.61
-81.74,28.28
-99.6,27.8
-80.3,25.78
-81.74,28.28
-74.17,40.67
-80.68,40.39
-87.89,43.04
-95.29,30.01
-77.47,38.99
-87.74,41.67
-82.12,34.91
-85.41,31.15
-80.09,26.66
-80.19,25.78
-81.74,28.28
-80.09,26.66
-81.74,28.28
-95.29,30.01
-81.74,28.28
-91.6,41.0
-91.6,41.0
-96.98,32.88
-82.43,27.94
-80.09,26.66
-81.74,28.28
-81.74,28.28
-123.0,45.6
-122.38,37.62
-71.1,44.3
-80.09,26.66
-85.21,41.01
-71.1,44.3
-81.74,28.28
-80.31,25.82
-81.74,28.28
-100.7,46.8
-81.74,28.28
-81.74,28.28
-81.74,28.28
-80.75,28.38
-81.74,28.28
-81.74,28.28
-81.74,28.28
-81.74,28.28
-84.7,39.1
-71.1,44.3
-71.1,44.3
-99.3,27.4
-71.1,44.3
-84.33,33.58
-95.4,30.0
-76.87,42.12
-81.5,30.5
-81.74,28.28
-81.74,28.28
-80.12,26.09
-94.64,39.09
-74.17,40.7
-80.09,26.66
-95.57,29.87
-95.83,36.2
-84.7,39.1
-86.34,41.72
-74.06,40.78
-74.28,40.61
-106.4,31.81
-80.4,25.9
-99.5,27.51
-80.3,25.78
-119.82,36.76
-80.3,25.78
-80.09,26.66
-71.1,44.3
-81.74,28.28
-80.26,25.9
-83.65,32.65
-78.4,35.5
-80.4,25.9
-71.1,44.3
-71.1,44.3
-86.1,35.5
-74.94,40.1
-71.1,44.3
-80.4,25.9
-98.2,44.4
-74.3,40.73
-73.92,41.29
-80.4,25.9
-81.74,28.28
-82.1,28.8
-80.9,35.31
-88.18,42.02
-80.09,26.66
-95.0,39.7
-82.43,27.94
-80.4,25.9
-80.09,26.66
-118.8,35.2
-80.26,25.9
-95.25,29.76
-74.41,40.57
-80.09,26.66
-81.74,28.28
-81.74,28.28
-94.4,38.86
-83.07,42.56
-94.52,39.13
-82.96,39.88
-81.74,28.28
-96.68,32.92
-74.23,40.58
-81.74,28.28
-74.94,40.1
-81.74,28.28
-81.74,28.28
-81.74,28.28
-81.4,28.2
-96.68,32.92
-81.74,28.28
-87.76,41.88
-71.1,44.3
-86.21,39.79
-82.6,30.1
-74.23,40.58
-94.74,38.95
-74.17,40.67
-104.95,39.79
-76.24,39.48
-81.74,28.28
-89.97,34.95
-97.47,32.84
-95.34,29.97
-99.6,27.8
-80.09,26.66
-81.9,41.1
-81.74,28.28
-89.97,34.95
-85.97,39.84
-80.32,25.8
-115.05,36.24
-106.4,31.81
-74.28,40.61
-95.38,29.61
-97.47,32.84
-74.06,40.78
-112.2,33.43
-80.32,25.8
-80.09,26.66
-90.05,34.95
-97.16,31.56
-82.12,34.91
-73.92,41.29
-95.37,29.66
-83.3,36.2
-86.1,39.81
-83.9,42.6
-93.0,45.2
-82.87,40.03
-80.1,42.11
-83.15,42.28
-88.41,42.04
-88.9,44.3
-72.68,41.87
-80.8,35.6
-118.27,33.74
-80.4,25.9
-95.16,29.71
-81.32,28.4
-121.97,37.42
-95.0,33.2
-80.4,25.9
-88.25,41.75
-84.6,42.1
